-------------------------------|---------|----------|---------|---------|-------------------------------------------------------------
File                           | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                           
-------------------------------|---------|----------|---------|---------|-------------------------------------------------------------
 src/payments                  |   98.96 |    91.15 |   96.29 |   99.25 |                                                             
  payments.controller.ts       |     100 |    94.44 |     100 |     100 | 23                                                          
  payments.module.ts           |     100 |      100 |     100 |     100 |                                                             
  payments.service.ts          |   98.77 |    90.69 |   94.11 |   99.11 | 432-433                                                     
 src/ratings                   |     100 |    88.09 |     100 |     100 |                                                             
  ratings.controller.ts        |     100 |       75 |     100 |     100 | 10                                                          
  ratings.module.ts            |     100 |      100 |     100 |     100 |                                                             
  ratings.service.ts           |     100 |    89.47 |     100 |     100 | 17-19                                                       
 src/reports                   |   94.56 |    86.15 |   84.61 |   93.75 |                                                             
  reports.controller.ts        |   85.29 |    68.42 |      75 |   83.33 | 58-67                                                       
  reports.module.ts            |     100 |      100 |     100 |     100 |                                                             
  reports.service.ts           |     100 |    93.47 |     100 |     100 | 21-22                                                       
 src/stats                     |   97.54 |     82.4 |   96.77 |   99.25 |                                                             
  stats.controller.ts          |     100 |       75 |     100 |     100 | 10                                                          
  stats.module.ts              |     100 |      100 |     100 |     100 |                                                             
  stats.service.ts             |   97.03 |    82.64 |   96.15 |   99.09 | 86                                                          
-------------------------------|---------|----------|---------|---------|-------------------------------------------------------------
